run,arm,problem_index,seed,_step,curve/batch_max_reward,curve/batch_mean_reward,train/self_distillation/rewards/reward_fn,curve/mean_reward,train/self_distillation/reward_mean,train/self_distillation/group_reward_std_mean,train/self_distillation/reward_min,train/self_distillation/reward_max,train/self_distillation/reward_std,curve/max_reward
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,9.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,10.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,11.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,12.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,13.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,2,14.0,1.0,1.0,,,,,,,,
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,0.0,,,,0.60625,,,,,,0.625
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,1.0,,,,0.3,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,2.0,,,,0.45625,,,,,,0.625
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,3.0,,,,0.45625,,,,,,1.0
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,4.0,,,,0.31875,,,,,,0.675
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,5.0,,,,0.50625,,,,,,0.725
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,6.0,,,,0.475,,,,,,0.85
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,7.0,,,,0.23125,,,,,,0.6
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,8.0,,,,0.7,,,,,,1.0
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,9.0,,,,0.30625,,,,,,0.625
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,10.0,,,0.4356250151991844,,0.4356250151991844,0.3027273386716843,0.12000000476837158,0.7325000107288361,0.3027273386716843,
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,11.0,,,,0.3625,,,,,,0.675
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,12.0,,,,0.61875,,,,,,0.675
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,13.0,,,,0.76875,,,,,,1.0
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,14.0,,,,0.4,,,,,,0.65
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,15.0,,,,0.49375,,,,,,0.725
discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,SF,64,1,16.0,,,0.5287500143051147,,0.5287500143051147,0.2303110145032406,0.24000000953674316,0.7450000047683716,0.2303110145032406,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,0.0,0.8,0.485,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,1.0,0.875,0.67,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,2.0,0.975,0.6,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,3.0,1.0,0.5875,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,4.0,1.0,0.985,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,5.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,6.0,1.0,1.0,,,,,,,,
