problem_index,seed,arm,name,step,reward
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,2.0,0.5175
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,3.0,0.5925
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,4.0,0.5875
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,5.0,0.665
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,6.0,0.6124999999999999
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,7.0,0.715
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,8.0,0.985
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,9.0,1.0
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,10.0,1.0
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,11.0,1.0
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,12.0,1.0
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,13.0,1.0
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,14.0,1.0
64,2,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,15.0,1.0
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,1.0,0.60625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,2.0,0.3
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,3.0,0.45625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,4.0,0.45625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,5.0,0.31875
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,6.0,0.50625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,7.0,0.475
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,8.0,0.23125
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,9.0,0.7
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,10.0,0.30625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,11.0,0.3625
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,12.0,0.61875
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,13.0,0.76875
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,14.0,0.4
64,1,SF,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,15.0,0.49375
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,1.0,0.485
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,2.0,0.67
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,3.0,0.6
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,4.0,0.5875
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,5.0,0.985
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,6.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,7.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,8.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,9.0,1.0
64,1,TF,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,10.0,1.0
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,1.0,0.33125
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,2.0,0.11875
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,3.0,0.175
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,4.0,0.11249999999999999
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,5.0,0.35625
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,6.0,0.175
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,7.0,0.08125
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,8.0,0.05
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,9.0,0.08125
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,10.0,0.16875
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,11.0,0.15
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,12.0,0.125
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,13.0,0.2125
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,14.0,0.15625
39,1,SF,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,15.0,0.30625
